english,category,filipino,bisaya,notes_filipino,notes_bisaya,footnotes_filipino,footnotes_bisaya
Cascading Style Sheets,Web Development,Pinasapasang Estilo,Pinasapasang Estilo,Pasapasa + *-in-* = Thing is passed on to each and everyone,Pasapasa + *-in-* = Thing is passed on to each and everyone,,
Big Bang,Random Coinages,Sangkabungahan,Sangkabungahan,*Sang-* + *ka- -han* + bunga\n\nBunga was chosen because its more on the fruition of everything aside from a literal boom in the universe.,*Sang-* + *ka- -han* + bunga\n\nBunga was chosen because its more on the fruition of everything aside from a literal boom in the universe.\n\n,,*Sang-* borrowed from Filipino
Big Freeze,Random Coinages,Sampinakanakakaginawan,Sanghinginabugnawan,"*Sam- -an* + *pinaka-* + *nakaka-* + ginaw\n\nThis is because an absolute zero temperature is the coldest of the coldest and a Big Freeze is where the universe expands so much it reaches absolute zero coldness (the *nakaka-* part in the word).\n\nIf you think about it, it looks similar to pinakanakakapagpabagabag lol.",*Sang-* + *hing-* + *kina- -an-* + bugnaw\n\nThis is because an absolute zero temperature is the coldest of the coldest and a Big Freeze is where the universe expands so much it reaches absolute zero coldness (the *hing-* part in the word since it is its propensity or habit).,,*Sang-* borrowed from Filipino
Big Rip,Random Coinages,Sampinaunatan,Sanggipaungatan,*Sam- -an* + *pina-* + unat\n\nThis is because a Big Rip means something is pulling or stretching out the atoms apart by dark matter (*pina-*) to infinitely increase their distance (stretched apart).,"*Sang- -an* + *gipa--* + ungat\n\nThis is because a Big Rip means something is pulling or stretching out the atoms apart by dark matter, with object focus on the matter being stretched apart (*gipa-*) to infinitely increase their distance (stretched apart).",,*Sang- -an* borrowed from Filipino
Big Crunch,Random Coinages,Sampinagsiksikan,Sangginapiitan,"*Sam- -an* + *pinag-* + siksik\n\nThis is because a Big Crunch means after a certain amount of matter, the universe eventually compresses upon itself as if willingly (*pinag-*).","*Sam- -an* + *gina-* + piit\n\nThis is because a Big Crunch means after a certain amount of matter, the universe eventually compresses upon itself, with emphasis on passive voice-ish (*gina-*).",,*Sang- -an* borrowed from Filipino
Model,Data Science,Modelo,Modelo,,,,
Model,AI,Modelo,Modelo,,,,
Model,Deep Learning,Modelo,Modelo,,,,
Cloud,Cloud,Klawdo,Klawdo,"Technically, klawd is an accurate transliteration, but very dry like payl. So I borrowed kuraudo from Japanese and transliterate from there.","Technically, klawd is an accurate transliteration, but very dry like payl. So I borrowed kuraudo from Japanese and transliterate from there.",Transliteration,Transliteration
As a Service,XaaS,Pagkakaserbisyo,Pagkahinerbisyo,Focuses on the mode or manner (*pagkaka-*) of service.,"Focuses on the mode or manner of service. To replicate *pagkaka-* in Bisaya, I used *pagka-* (state of the act) + *hi-/hin-/hing-* (propensity reading) ",,
Everything as a Service,XaaS,Pagkakaserbisyo,Pagkahinerbisyo,Focuses on the mode or manner (*pagkaka-*) of service.,"Focuses on the mode or manner of service. To replicate *pagkaka-* in Bisaya, I used *pagka-* (state of the act) + *hi-/hin-/hing-* (propensity reading) ",,
Architecture,General,Istraktura,Istraktura,"While it can be transliterated as arkitektura, the original English focuses more on the structure.","While it can be transliterated as arkitektura, the original English focuses more on the structure.",,
Architecture,General,Estraktura,Estraktura,"While it can be transliterated as arkitektura, the original English focuses more on the structure.","While it can be transliterated as arkitektura, the original English focuses more on the structure.",,
Virtual,General,Birtwal,Birtwal,,,,
Virtualization,Virtualization,Birtwalisasyon,Birtwalisasyon,,,,
Account,General,Akante,Akante,"The official transliteration is akawnt, but like payl, it sounds very dry. So I simplified it with akawnt → akant → akante.","The official transliteration is akawnt, but like payl, it sounds very dry. So I simplified it with akawnt → akant → akante.",Transliteration + Adaptation (E.g. Chaffeur → Tsuper),Transliteration + Adaptation (E.g. Chaffeur → Tsuper)
Color Spectrum,Graphics,Silom,Silom,Borrowed from Bisaya.,,Borrowing,
Spectrum,General,Kasiluman,Kamasiluman,"Silom borrowed from Bisaya. Uses the abstract reading of *ka- -an*. Same metaphor as English's spectrum i.e. fine variety of things from left to right, which works because its a visualization.","Uses the abstract reading of *ka- -an*, and to achieve that, we need an adjective modifier (*ma-*). Same metaphor as English's spectrum i.e. fine variety of things from left to right, which works because its a visualization.",Borrowing,
Spectrum,General,Silom,Silom,"Silom borrowed from Bisaya. Can be used as is w/o *ka- -an*. Same metaphor as English's spectrum i.e. fine variety of things from left to right, which works because its a visualization.","Can be used as is w/o *ka- -an*'s abstract reading. Same metaphor as English's spectrum i.e. fine variety of things from left to right, which works because its a visualization.",Borrowing,
Keyboard,General,Panulat,Panulat,It's quite literally the modern writing instrument.,It's quite literally the modern writing instrument. Uses the instrument reading of *pan-*.,By Extension,By Extension
Keyboard,General,,Panuwat,,It's quite literally the modern writing instrument. Uses the instrument reading of *pan-*.,By Extension,By Extension
Mouse Cursor,General,Hinturo,Antudlo,Based on index finger (hintuturo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,Based on index finger (antutudlo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,,
Mouse Pointer,General,Hinturo,Antudlo,Based on index finger (hintuturo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,Based on index finger (antutudlo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,,
Cursor,General,Hinturo,Antudlo,As in mouse cursor. Based on index finger (hintuturo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,As in mouse cursor. Based on index finger (antutudlo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,,
Pointer,General,Hinturo,Antudlo,As in mouse pointer. Based on index finger (hintuturo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,As in mouse pointer. Based on index finger (antutudlo) since it is the pointer for computers. Trimmed the first syllable reduplication to avoid confusion.,,
Mouse,General,Panghinturo,Pangantudlo,Instrument of mouse cursor. See hinturo (mouse cursor).,Instrument of mouse cursor. See antudlo (mouse cursor).,,
Pointer,Low-Level Programming,Adrespunto,Adrespunto,Literally address point (adres + punto).,Literally address point (adres + punto).,Mashup,Mashup
Memory,General,Memori,Memori,"Transliterated directly from Japanese's memori, which sounds very similar to English's pronunciation. This is because it's faster to pronounce than memorya.","Transliterated directly from Japanese's memori, which sounds very similar to English's pronunciation. This is because it's faster to pronounce than memorya.",Transliteration,Transliteration
Memory Space,General,Memorian,Memorianan,"""Place of X"" reading of *-an*. See memori (memory).",Related: memori (memory).,,
Memory Address,Low-Level Programming,Adresemori,Adresemori,Literally address memory (adres + memori). Blended to make them flow smoothly: adresmemori → adresemori.,Literally address memory (adres + memori). Blended to make them flow smoothly: adresmemori → adresemori.,Mashup + Blend,Mashup + Blend
Address,Low-Level Programming,Adres,Adres,By context. See adresemori (memory address).,By context. See adresemori (memory address).,,
Addition,Math,Dagdag,Dugang,,![https://www.binisaya.com/node/731/](https://www.binisaya.com/node/731/),,
Subtraction,Math,Bawas,Kuha,,![https://www.binisaya.com/node/731/](https://www.binisaya.com/node/731/),,
Multiplication,Math,Pilupilo,Pilupilo,Pronounced as piLO. ![Borrowed from Bisaya](https://www.binisaya.com/node/731/) since it's basically equivalent to archaic English's fold (times) and pilo literally means fold. The official translation is ![parami/magparami](https://archive.org/details/maugnayin-talasalitaan-1969-ocr/page/45/mode/2up) but it is too broad.,![https://www.binisaya.com/node/731/](https://www.binisaya.com/node/731/),Borrowing,
Division,Math,Hati,Bahin,"Hati is not just half, its to cut something to pieces.",![https://www.binisaya.com/node/731/](https://www.binisaya.com/node/731/),,
Arithmetic,Math,Dabapiha,Dokupiba,DAgdag + BAwas + PIlo + HAti. This refers to anything using the four standard operators in math only.,DUgang (rendered as DO) + KUha + PIlo + BAhin. This refers to anything using the four standard operators in math only.,Portmanteau,Portmanteau
Arithmetic,General,Kapalihukan,Kapalihukan,"![Borrowed from Bisaya](https://www.binisaya.com/node/731/), where math operations are defined as ""palihok"". Can be interpreted under the collection reading or abstract reading of *ka- -an*. This is for arithmetic such as pointer arithmetic that doesn't fit under the traditional ""four basic operations"" of arithmetic.","![https://www.binisaya.com/node/731/](https://www.binisaya.com/node/731/), where math operations are defined as ""palihok"". Uses the abstract reading of *ka- -an*. . This is for arithmetic such as pointer arithmetic that doesn't fit under the traditional ""four basic operations"" of arithmetic.",Borrowing,
